year,month,state,rainfall,soil_moisture,groundwater_level,population,population_consumption_per_month
2019,6,Assam,8703.762426374,23.534727136262624,3.6,35289762.833333336,142923539460.0
2019,7,Assam,17250.648410625,27.287496225513195,3.013055555555556,35335088.0,147877343280.0
2019,8,Assam,6664.162926468,24.274112343108506,2.426111111111111,35380413.166666664,148067029118.0
2019,9,Assam,11044.159866143,27.390062945151513,2.55056530214425,35425738.333333336,143474240250.0
2019,10,Assam,4906.668850628,24.401842740664712,2.675019493177388,35471063.5,148446400732.0
2019,11,Assam,294.926590869,18.067938903434342,2.7994736842105263,35516388.666666664,143841374100.0
2019,12,Assam,108.030006171,13.531986395210168,3.087514619883041,35561713.833333336,148825772408.0
2020,1,Assam,671.031675242,13.493333788793104,3.3755555555555556,35607039.0,149015458215.0
2020,2,Assam,497.916292321,12.88283144877551,3.154190476190476,35560035.75,134416935128.0
2020,3,Assam,768.879560308,13.71826726584867,2.932825396825397,35513032.5,148622041028.0
2020,4,Assam,4767.534700091,17.502705773347326,2.7114603174603173,35466029.25,143637418470.0
2020,5,Assam,10899.250041076,20.147952162266012,2.490095238095238,35419026.0,148228623810.0
2020,6,Assam,12613.704010714,23.84034848402299,2.2687301587301585,35372022.75,143256692130.0
2020,7,Assam,10176.003474004,24.79601802001711,2.0473650793650795,35325019.5,147835206592.0
2020,8,Assam,3477.437632277,22.802560370729367,1.826,35278016.25,147638498014.0
2020,9,Assam,5828.90566962,26.186527657127773,1.9980350877192985,35231013.0,142685602650.0
2020,10,Assam,3702.040568856,21.488049619613527,2.1700701754385965,35184009.75,147245080796.0
2020,11,Assam,625.874738604,16.250519317269074,2.3421052631578947,35137006.5,142304876340.0
2020,12,Assam,395.978668763,11.678654550047664,2.9535526315789475,35090003.25,146851663609.0
2021,1,Assam,550.539485871,10.687189966767372,3.565,35043000.0,146654955000.0
2021,2,Assam,105.149498885,9.86404051255962,3.3633333333333333,35070916.666666664,132568065000.0
2021,3,Assam,1746.550642578,12.986641472558714,3.161666666666666,35098833.333333336,146888617500.0
2021,4,Assam,2822.862790689,17.28235111600736,2.96,35126750.0,142263337500.0
2021,5,Assam,6840.999868451,20.12234249471662,2.7583333333333333,35154666.666666664,147122280000.0
2021,6,Assam,13304.994892055,24.351948498762884,2.556666666666666,35182583.333333336,142489462500.0
2021,7,Assam,10347.05696571,24.73276706690763,2.355,35210500.0,147355942500.0
2021,8,Assam,9919.784407509,24.739970825638053,2.1533333333333333,35238416.666666664,147472773750.0
2021,9,Assam,6456.304671574,22.58218874275062,2.445888888888889,35266333.333333336,142828650000.0
2021,10,Assam,3858.773201471,20.741438522285712,2.7384444444444447,35294250.0,147706436250.0
